"","iso","genre","tmstamp","n","dir"
"17","US","ambient house","2020-01-15 09:05:27",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""ambient house""&fmt=json"
"18","US","ambient techno","2020-01-15 09:05:27",10,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""ambient techno""&fmt=json"
"19","US","americana","2020-01-15 09:05:37",114,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""americana""&fmt=json"
"20","US","anarcho-punk","2020-01-15 09:05:38",2,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""anarcho-punk""&fmt=json"
"21","US","aor","2020-01-15 09:05:38",50,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""aor""&fmt=json"
"22","US","arena rock","2020-01-15 09:05:38",8,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""arena rock""&fmt=json"
"23","US","art rock","2020-01-15 09:05:38",49,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""art rock""&fmt=json"
"24","US","atmospheric black metal","2020-01-15 09:05:39",21,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""atmospheric black metal""&fmt=json"
"25","US","audiobook","2020-01-15 09:05:39",2,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""audiobook""&fmt=json"
"26","US","avant-garde","2020-01-15 09:05:39",93,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""avant-garde""&fmt=json"
"27","US","avant-garde jazz","2020-01-15 09:05:39",57,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""avant-garde jazz""&fmt=json"
"28","US","avant-garde metal","2020-01-15 09:05:50",8,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""avant-garde metal""&fmt=json"
"29","US","avant-garde pop","2020-01-15 09:05:50",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""avant-garde pop""&fmt=json"
"30","US","bachata","2020-01-15 09:05:50",13,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bachata""&fmt=json"
"31","US","ballad","2020-01-15 09:05:51",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""ballad""&fmt=json"
"32","US","barbershop","2020-01-15 09:05:51",6,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""barbershop""&fmt=json"
"33","US","baroque","2020-01-15 09:05:51",59,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""baroque""&fmt=json"
"34","US","bebop","2020-01-15 09:05:51",31,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bebop""&fmt=json"
"35","US","bhangra","2020-01-15 09:05:52",1,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bhangra""&fmt=json"
"36","US","big band","2020-01-15 09:05:52",45,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""big band""&fmt=json"
"37","US","big beat","2020-01-15 09:06:03",3,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""big beat""&fmt=json"
"38","US","black metal","2020-01-15 09:06:03",135,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""black metal""&fmt=json"
"39","US","blackened death metal","2020-01-15 09:06:03",2,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""blackened death metal""&fmt=json"
"40","US","blackgaze","2020-01-15 09:06:03",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""blackgaze""&fmt=json"
"41","US","blue-eyed soul","2020-01-15 09:06:03",37,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""blue-eyed soul""&fmt=json"
"42","US","bluegrass","2020-01-15 09:06:03",86,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bluegrass""&fmt=json"
"43","US","blues","2020-01-15 09:06:04",812,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""blues""&fmt=json"
"44","US","blues rock","2020-01-15 09:06:04",248,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""blues rock""&fmt=json"
"45","US","bolero","2020-01-15 09:06:05",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bolero""&fmt=json"
"46","US","bolero son","2020-01-15 09:06:15",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bolero son""&fmt=json"
"47","US","boom bap","2020-01-15 09:06:15",25,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""boom bap""&fmt=json"
"48","US","bossa nova","2020-01-15 09:06:16",9,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bossa nova""&fmt=json"
"49","US","breakbeat","2020-01-15 09:06:16",6,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""breakbeat""&fmt=json"
"50","US","breakcore","2020-01-15 09:06:16",15,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""breakcore""&fmt=json"
"51","US","breaks","2020-01-15 09:06:16",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""breaks""&fmt=json"
"52","US","britpop","2020-01-15 09:06:16",1,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""britpop""&fmt=json"
"53","US","broken beat","2020-01-15 09:06:16",2,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""broken beat""&fmt=json"
"54","US","brutal death metal","2020-01-15 09:06:17",22,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""brutal death metal""&fmt=json"
"55","US","bubblegum pop","2020-01-15 09:06:27",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""bubblegum pop""&fmt=json"
"56","US","cajun","2020-01-15 09:06:27",13,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""cajun""&fmt=json"
"57","US","calypso","2020-01-15 09:06:27",4,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""calypso""&fmt=json"
"58","US","canterbury scene","2020-01-15 09:06:27",1,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""canterbury scene""&fmt=json"
"59","US","cantopop","2020-01-15 09:06:28",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""cantopop""&fmt=json"
"60","US","celtic","2020-01-15 09:06:28",34,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""celtic""&fmt=json"
"61","US","celtic punk","2020-01-15 09:06:28",4,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""celtic punk""&fmt=json"
"62","US","chamber pop","2020-01-15 09:06:28",14,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""chamber pop""&fmt=json"
"63","US","champeta","2020-01-15 09:06:28",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""champeta""&fmt=json"
"64","US","chanson","2020-01-15 09:06:39",1,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""chanson""&fmt=json"
"65","US","chicago blues","2020-01-15 09:06:39",28,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""chicago blues""&fmt=json"
"66","US","chillout","2020-01-15 09:06:39",7,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""chillout""&fmt=json"
"67","US","chiptune","2020-01-15 09:06:39",19,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""chiptune""&fmt=json"
"68","US","christian rock","2020-01-15 09:06:40",42,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""christian rock""&fmt=json"
"69","US","christmas music","2020-01-15 09:06:40",53,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""christmas music""&fmt=json"
"70","US","city pop","2020-01-15 09:06:40",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""city pop""&fmt=json"
"71","US","classic blues","2020-01-15 09:06:40",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""classic blues""&fmt=json"
"72","US","classic country","2020-01-15 09:06:41",4,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""classic country""&fmt=json"
"73","US","classic jazz","2020-01-15 09:06:51",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""classic jazz""&fmt=json"
"74","US","classic rock","2020-01-15 09:06:51",38,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""classic rock""&fmt=json"
"75","US","classical","2020-01-15 09:06:52",481,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""classical""&fmt=json"
"76","US","club","2020-01-15 09:06:52",58,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""club""&fmt=json"
"77","US","comedy","2020-01-15 09:06:52",87,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""comedy""&fmt=json"
"78","US","conscious hip hop","2020-01-15 09:06:53",40,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""conscious hip hop""&fmt=json"
"79","US","contemporary christian","2020-01-15 09:06:53",49,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""contemporary christian""&fmt=json"
"80","US","contemporary classical","2020-01-15 09:06:53",15,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""contemporary classical""&fmt=json"
"81","US","contemporary folk","2020-01-15 09:06:54",56,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""contemporary folk""&fmt=json"
"82","US","contemporary gospel","2020-01-15 09:07:04",9,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""contemporary gospel""&fmt=json"
"83","US","contemporary jazz","2020-01-15 09:07:05",12,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""contemporary jazz""&fmt=json"
